zaman,istasyon,basinc_bar,debi_m3h,seviye_%,klor_mgl,enerji_kwh
2026-03-15 07:50:27.241342,IST-01,4.55,121.48,75.21,0.528,77.41
2026-03-15 08:05:27.241359,IST-02,4.526,123.94,74.08,0.438,86.5
2026-03-15 08:20:27.241363,IST-03,4.643,125.26,75.83,0.479,88.42
2026-03-15 08:35:27.241366,IST-04,4.768,126.56,76.37,0.451,103.76
2026-03-15 08:50:27.241368,IST-05,4.628,123.02,75.42,0.441,94.5
2026-03-15 09:05:27.241372,IST-06,4.661,130.18,76.78,0.585,79.23
2026-03-15 09:20:27.241374,IST-07,4.872,132.54,76.99,0.536,76.02
2026-03-15 09:35:27.241376,IST-08,4.816,131.97,76.09,0.431,89.92
2026-03-15 09:50:27.241378,IST-09,4.714,136.62,77.88,0.59,71.8
2026-03-15 10:05:27.241380,IST-10,4.833,140.59,78.36,0.531,103.31
2026-03-15 10:20:27.241381,IST-01,4.744,148.82,79.15,0.581,96.79
2026-03-15 10:35:27.241383,IST-02,4.751,140.74,79.38,0.563,80.31
2026-03-15 10:50:27.241385,IST-03,4.824,141.29,77.19,0.417,67.87
2026-03-15 11:05:27.241387,IST-04,4.605,139.41,77.85,0.444,98.54
2026-03-15 11:20:27.241388,IST-05,4.616,129.62,79.51,0.575,83.85
2026-03-15 11:35:27.241390,IST-06,4.719,138.18,79.7,0.561,97.38
2026-03-15 11:50:27.241392,IST-07,4.655,137.4,79.87,0.498,69.06
2026-03-15 12:05:27.241394,IST-08,4.765,147.89,83.36,0.512,79.01
2026-03-15 12:20:27.241395,IST-09,4.616,132.83,80.21,0.628,85.05
2026-03-15 12:35:27.241397,IST-10,4.535,133.26,80.89,0.441,85.47
2026-03-15 12:50:27.241399,IST-01,4.789,129.35,80.8,0.555,80.5
2026-03-15 13:05:27.241401,IST-02,4.584,121.27,80.57,0.48,91.23
2026-03-15 13:20:27.241402,IST-03,4.576,130.3,79.65,0.478,74.32
2026-03-15 13:35:27.241404,IST-04,4.387,125.74,80.75,0.61,83.58
2026-03-15 13:50:27.241406,IST-05,4.436,123.29,79.23,0.583,86.2
2026-03-15 14:05:27.241408,IST-06,4.462,112.16,79.75,0.581,90.14
2026-03-15 14:20:27.241409,IST-07,4.297,121.15,79.46,0.631,92.12
2026-03-15 14:35:27.241411,IST-08,4.413,104.66,79.97,0.502,73.75
2026-03-15 14:50:27.241413,IST-09,4.28,112.27,82.12,0.568,69.66
2026-03-15 15:05:27.241415,IST-10,4.279,118.15,77.83,0.469,97.78
2026-03-15 15:20:27.241416,IST-01,4.219,100.33,80.27,0.532,88.32
