zaman,istasyon,basinc_bar,debi_m3h,seviye_%,klor_mgl,enerji_kwh
2026-03-15 07:54:20.083814,IST-01,4.55,121.48,75.21,0.528,77.41
2026-03-15 08:09:20.083831,IST-02,4.526,123.94,74.08,0.438,86.5
2026-03-15 08:24:20.083835,IST-03,4.643,125.26,75.83,0.479,88.42
2026-03-15 08:39:20.083838,IST-04,4.768,126.56,76.37,0.451,103.76
2026-03-15 08:54:20.083841,IST-05,4.628,123.02,75.42,0.441,94.5
2026-03-15 09:09:20.083845,IST-06,4.661,130.18,76.78,0.585,79.23
2026-03-15 09:24:20.083848,IST-07,4.872,132.54,76.99,0.536,76.02
2026-03-15 09:39:20.083851,IST-08,4.816,131.97,76.09,0.431,89.92
2026-03-15 09:54:20.083854,IST-09,4.714,136.62,77.88,0.59,71.8
2026-03-15 10:09:20.083857,IST-10,4.833,140.59,78.36,0.531,103.31
2026-03-15 10:24:20.083860,IST-01,4.744,148.82,79.15,0.581,96.79
2026-03-15 10:39:20.083862,IST-02,4.751,140.74,79.38,0.563,80.31
2026-03-15 10:54:20.083866,IST-03,4.824,141.29,77.19,0.417,67.87
2026-03-15 11:09:20.083868,IST-04,4.605,139.41,77.85,0.444,98.54
2026-03-15 11:24:20.083872,IST-05,4.616,129.62,79.51,0.575,83.85
2026-03-15 11:39:20.083874,IST-06,4.719,138.18,79.7,0.561,97.38
2026-03-15 11:54:20.083877,IST-07,4.655,137.4,79.87,0.498,69.06
2026-03-15 12:09:20.083879,IST-08,4.765,147.89,83.36,0.512,79.01
2026-03-15 12:24:20.083882,IST-09,4.616,132.83,80.21,0.628,85.05
2026-03-15 12:39:20.083885,IST-10,4.535,133.26,80.89,0.441,85.47
2026-03-15 12:54:20.083887,IST-01,4.789,129.35,80.8,0.555,80.5
2026-03-15 13:09:20.083890,IST-02,4.584,121.27,80.57,0.48,91.23
2026-03-15 13:24:20.083892,IST-03,4.576,130.3,79.65,0.478,74.32
2026-03-15 13:39:20.083895,IST-04,4.387,125.74,80.75,0.61,83.58
2026-03-15 13:54:20.083897,IST-05,4.436,123.29,79.23,0.583,86.2
2026-03-15 14:09:20.083899,IST-06,4.462,112.16,79.75,0.581,90.14
2026-03-15 14:24:20.083901,IST-07,4.297,121.15,79.46,0.631,92.12
2026-03-15 14:39:20.083903,IST-08,4.413,104.66,79.97,0.502,73.75
2026-03-15 14:54:20.083905,IST-09,4.28,112.27,82.12,0.568,69.66
2026-03-15 15:09:20.083906,IST-10,4.279,118.15,77.83,0.469,97.78
2026-03-15 15:24:20.083908,IST-01,4.219,100.33,80.27,0.532,88.32
2026-03-15 15:39:20.083910,IST-02,4.44,100.8,77.82,0.487,77.52
2026-03-15 15:54:20.083911,IST-03,4.232,102.75,78.8,0.51,100.51
2026-03-15 16:09:20.083913,IST-04,4.112,98.68,80.18,0.56,86.16
2026-03-15 16:24:20.083915,IST-05,4.289,92.71,78.96,0.418,96.79
2026-03-15 16:39:20.083917,IST-06,4.079,100.41,77.6,0.709,85.68
2026-03-15 16:54:20.083918,IST-07,4.221,94.71,77.73,0.399,105.61
2026-03-15 17:09:20.083920,IST-08,4.009,102.7,78.88,0.379,102.55
2026-03-15 17:24:20.083922,IST-09,4.082,96.38,77.21,0.616,82.51
2026-03-15 17:39:20.083923,IST-10,4.249,109.71,77.88,0.579,94.72
2026-03-15 17:54:20.083925,IST-01,1.8,99.34,77.43,0.562,91.45
2026-03-15 18:09:20.083927,IST-02,1.8,103.24,76.43,0.563,98.69
2026-03-15 18:24:20.083929,IST-03,1.8,110.77,78.92,0.499,75.35
2026-03-15 18:39:20.083930,IST-04,1.8,102.63,77.1,0.41,91.86
2026-03-15 18:54:20.083932,IST-05,1.8,112.21,74.12,0.508,95.58
2026-03-15 19:09:20.083934,IST-06,4.331,120.04,76.01,0.432,67.41
2026-03-15 19:24:20.083936,IST-07,4.395,108.02,74.83,0.598,73.17
2026-03-15 19:39:20.083937,IST-08,4.586,119.6,76.02,0.485,64.61
2026-03-15 19:54:20.083939,IST-09,4.554,122.62,74.04,0.417,82.31
2026-03-15 20:09:20.083941,IST-10,4.383,127.85,74.39,0.468,92.18
2026-03-15 20:24:20.083942,IST-01,4.63,120.31,74.68,0.541,100.02
2026-03-15 20:39:20.083944,IST-02,4.595,122.33,74.72,0.444,85.74
2026-03-15 20:54:20.083946,IST-03,4.601,133.82,72.33,0.418,101.29
2026-03-15 21:09:20.083960,IST-04,4.761,134.79,72.89,0.524,71.2
2026-03-15 21:24:20.083961,IST-05,4.83,136.41,72.44,0.524,67.97
2026-03-15 21:39:20.083963,IST-06,4.844,138.48,71.97,0.449,84.44
2026-03-15 21:54:20.083965,IST-07,4.687,134.64,74.1,0.453,88.84
2026-03-15 22:09:20.083967,IST-08,4.754,140.18,72.47,0.523,84.67
2026-03-15 22:24:20.083968,IST-09,4.828,141.14,70.54,0.355,64.33
2026-03-15 22:39:20.083970,IST-10,4.897,136.4,72.47,0.359,84.11
2026-03-15 22:54:20.083972,IST-01,4.751,185.0,73.44,0.428,71.96
2026-03-15 23:09:20.083973,IST-02,4.775,185.0,72.14,0.479,91.7
2026-03-15 23:24:20.083975,IST-03,4.671,185.0,69.39,0.531,88.67
2026-03-15 23:39:20.083977,IST-04,4.647,185.0,70.24,0.648,75.6
2026-03-15 23:54:20.083979,IST-05,4.827,185.0,71.83,0.586,79.86
2026-03-16 00:09:20.083981,IST-06,4.856,185.0,69.71,0.484,74.41
2026-03-16 00:24:20.083983,IST-07,4.685,185.0,70.74,0.498,84.37
2026-03-16 00:39:20.083985,IST-08,4.76,126.56,70.97,0.4,94.55
2026-03-16 00:54:20.083987,IST-09,4.661,133.15,69.19,0.498,75.14
2026-03-16 01:09:20.083988,IST-10,4.523,127.93,70.0,0.471,90.04
2026-03-16 01:24:20.083990,IST-01,4.586,127.4,66.78,1.8,79.7
2026-03-16 01:39:20.083992,IST-02,4.664,130.15,68.98,1.8,77.07
2026-03-16 01:54:20.083993,IST-03,4.467,116.79,69.75,1.8,83.93
2026-03-16 02:09:20.083995,IST-04,4.588,111.64,68.79,0.653,74.65
2026-03-16 02:24:20.083997,IST-05,4.131,108.44,71.71,0.489,79.46
2026-03-16 02:39:20.083999,IST-06,4.439,106.4,68.72,0.54,73.02
2026-03-16 02:54:20.084000,IST-07,4.332,107.86,69.8,0.569,104.65
2026-03-16 03:09:20.084003,IST-08,4.263,107.92,70.49,0.46,85.35
2026-03-16 03:24:20.084005,IST-09,4.276,105.81,71.93,0.522,78.0
